Type,Identification,Field,Locale,Status,Default content,Translated content
COLLECTION,'265253584944,meta_description,fr,,,
COLLECTION,'265253617712,title,fr,,Household MDSE,
COLLECTION,'265253617712,body_html,fr,,"",
COLLECTION,'265253617712,meta_title,fr,,,
COLLECTION,'265253617712,meta_description,fr,,,
COLLECTION,'265253650480,title,fr,,Aromatherapy & Body Oils,
COLLECTION,'265253650480,body_html,fr,,"",
COLLECTION,'265253650480,meta_title,fr,,,
COLLECTION,'265253650480,meta_description,fr,,,
COLLECTION,'265253683248,title,fr,,Food Supp,
COLLECTION,'265253683248,body_html,fr,,"",
COLLECTION,'265253683248,meta_title,fr,,,
COLLECTION,'265253683248,meta_description,fr,,,
COLLECTION,'265253716016,title,fr,,Sports Nutrition,
COLLECTION,'265253716016,body_html,fr,,"",
COLLECTION,'265253716016,meta_title,fr,,,
COLLECTION,'265253716016,meta_description,fr,,,
COLLECTION,'265253748784,title,fr,,POS,
COLLECTION,'265253748784,body_html,fr,,"",
COLLECTION,'265253748784,meta_title,fr,,,
COLLECTION,'265253748784,meta_description,fr,,,
COLLECTION,'265253814320,title,fr,,Pet Supplies,
COLLECTION,'265253814320,body_html,fr,,"",
COLLECTION,'265253814320,meta_title,fr,,,
COLLECTION,'265253814320,meta_description,fr,,,
COLLECTION,'265253847088,title,fr,,Pet Personal & Body Care,
COLLECTION,'265253847088,body_html,fr,,"",
COLLECTION,'265253847088,meta_title,fr,,,
COLLECTION,'265253847088,meta_description,fr,,,
COLLECTION,'265253879856,title,fr,,Disinfectants,
COLLECTION,'265253879856,body_html,fr,,"",
COLLECTION,'265253879856,meta_title,fr,,,
COLLECTION,'265253879856,meta_description,fr,,,
COLLECTION,'265253912624,title,fr,,Cleaning Supplies,
COLLECTION,'265253912624,body_html,fr,,"",
COLLECTION,'265253912624,meta_title,fr,,,
COLLECTION,'265253912624,meta_description,fr,,,
COLLECTION,'265253945392,title,fr,,Dishwashing Products,
COLLECTION,'265253945392,body_html,fr,,"",
COLLECTION,'265253945392,meta_title,fr,,,
COLLECTION,'265253945392,meta_description,fr,,,
COLLECTION,'265253978160,title,fr,,Bar Soap,
COLLECTION,'265253978160,body_html,fr,,"",
COLLECTION,'265253978160,meta_title,fr,,,
COLLECTION,'265253978160,meta_description,fr,,,
COLLECTION,'265254010928,title,fr,,Air Fresheners,
COLLECTION,'265254010928,body_html,fr,,"",
COLLECTION,'265254010928,meta_title,fr,,,
COLLECTION,'265254010928,meta_description,fr,,,
COLLECTION,'265254043696,title,fr,,Powder Laundry Products,
COLLECTION,'265254043696,body_html,fr,,"",
COLLECTION,'265254043696,meta_title,fr,,,
COLLECTION,'265254043696,meta_description,fr,,,
COLLECTION,'265254076464,title,fr,,Bubble Bath,
COLLECTION,'265254076464,body_html,fr,,"",
COLLECTION,'265254076464,meta_title,fr,,,
COLLECTION,'265254076464,meta_description,fr,,,
COLLECTION,'265254109232,title,fr,,Liquid Laundry Products,
COLLECTION,'265254109232,body_html,fr,,"",
COLLECTION,'265254109232,meta_title,fr,,,
COLLECTION,'265254109232,meta_description,fr,,,
COLLECTION,'265254142000,title,fr,,Suncare After Sun,
COLLECTION,'265254142000,body_html,fr,,"",
COLLECTION,'265254142000,meta_title,fr,,,
COLLECTION,'265254142000,meta_description,fr,,,
COLLECTION,'265254174768,title,fr,,Stick Deodorants,
COLLECTION,'265254174768,body_html,fr,,"",
COLLECTION,'265254174768,meta_title,fr,,,
COLLECTION,'265254174768,meta_description,fr,,,
COLLECTION,'265254207536,title,fr,,Toothbrushes,
COLLECTION,'265254207536,body_html,fr,,"",
COLLECTION,'265254207536,meta_title,fr,,,
COLLECTION,'265254207536,meta_description,fr,,,
COLLECTION,'265254240304,title,fr,,Babycare/Pre & Postnatal/Children,
COLLECTION,'265254240304,body_html,fr,,"",
COLLECTION,'265254240304,meta_title,fr,,,
COLLECTION,'265254240304,meta_description,fr,,,
COLLECTION,'265254273072,title,fr,,Baby Diapers/Wipes,
COLLECTION,'265254273072,body_html,fr,,"",
COLLECTION,'265254273072,meta_title,fr,,,
COLLECTION,'265254273072,meta_description,fr,,,
COLLECTION,'265254338608,title,fr,,Liquid Soap,
COLLECTION,'265254338608,body_html,fr,,"",
COLLECTION,'265254338608,meta_title,fr,,,
COLLECTION,'265254338608,meta_description,fr,,,
COLLECTION,'265254371376,title,fr,,Body Wash/Bath Gel,
COLLECTION,'265254371376,body_html,fr,,"",
COLLECTION,'265254371376,meta_title,fr,,,
COLLECTION,'265254371376,meta_description,fr,,,
COLLECTION,'265254404144,title,fr,,Toothpastes & Toothpowders,
COLLECTION,'265254404144,body_html,fr,,"",
COLLECTION,'265254404144,meta_title,fr,,,
COLLECTION,'265254404144,meta_description,fr,,,
COLLECTION,'265254436912,title,fr,,"Bath, Kitchen & Other Cleaners",
COLLECTION,'265254436912,body_html,fr,,"",
COLLECTION,'265254436912,meta_title,fr,,,
COLLECTION,'265254436912,meta_description,fr,,,
COLLECTION,'265254469680,title,fr,,Other Topical Misc Care,
COLLECTION,'265254469680,body_html,fr,,"",
COLLECTION,'265254469680,meta_title,fr,,,
COLLECTION,'265254469680,meta_description,fr,,,
COLLECTION,'265254535216,title,fr,,Gift Packs & Kits (Full Size),
COLLECTION,'265254535216,body_html,fr,,"",
COLLECTION,'265254535216,meta_title,fr,,,
COLLECTION,'265254535216,meta_description,fr,,,
COLLECTION,'265254567984,title,fr,,Vitamin E,
COLLECTION,'265254567984,body_html,fr,,"",
COLLECTION,'265254567984,meta_title,fr,,,
COLLECTION,'265254567984,meta_description,fr,,,
COLLECTION,'265254600752,title,fr,,"Mists, Toners & Astringents",
COLLECTION,'265254600752,body_html,fr,,"",
COLLECTION,'265254600752,meta_title,fr,,,
COLLECTION,'265254600752,meta_description,fr,,,
COLLECTION,'265254666288,title,fr,,Topical First Aid,
COLLECTION,'265254666288,body_html,fr,,"",
COLLECTION,'265254666288,meta_title,fr,,,
COLLECTION,'265254666288,meta_description,fr,,,
COLLECTION,'265254699056,title,fr,,Suncare Spray,
COLLECTION,'265254699056,body_html,fr,,"",
COLLECTION,'265254699056,meta_title,fr,,,
COLLECTION,'265254699056,meta_description,fr,,,
COLLECTION,'265254731824,title,fr,,First Aid ACC,
COLLECTION,'265254731824,body_html,fr,,"",
COLLECTION,'265254731824,meta_title,fr,,,
COLLECTION,'265254731824,meta_description,fr,,,
COLLECTION,'265254764592,title,fr,,Shampoo,
COLLECTION,'265254764592,body_html,fr,,"",
COLLECTION,'265254764592,meta_title,fr,,,
COLLECTION,'265254764592,meta_description,fr,,,
COLLECTION,'265254797360,title,fr,,Conditioner,
COLLECTION,'265254797360,body_html,fr,,"",
COLLECTION,'265254797360,meta_title,fr,,,
COLLECTION,'265254797360,meta_description,fr,,,
COLLECTION,'265254830128,title,fr,,Scalp & Hair Treatments,
COLLECTION,'265254830128,body_html,fr,,"",
COLLECTION,'265254830128,meta_title,fr,,,
COLLECTION,'265254830128,meta_description,fr,,,
COLLECTION,'265254862896,title,fr,,Lip Balm,
COLLECTION,'265254862896,body_html,fr,,"",
COLLECTION,'265254862896,meta_title,fr,,,
COLLECTION,'265254862896,meta_description,fr,,,
COLLECTION,'265254895664,title,fr,,Facial Masks,
COLLECTION,'265254895664,body_html,fr,,"",
COLLECTION,'265254895664,meta_title,fr,,,
COLLECTION,'265254895664,meta_description,fr,,,
COLLECTION,'265254928432,title,fr,,Suncare Lotions/Cream,
COLLECTION,'265254928432,body_html,fr,,"",
COLLECTION,'265254928432,meta_title,fr,,,
COLLECTION,'265254928432,meta_description,fr,,,
COLLECTION,'265254961200,title,fr,,Facial Cleansers / Exfoliants,
COLLECTION,'265254961200,body_html,fr,,"",
COLLECTION,'265254961200,meta_title,fr,,,
COLLECTION,'265254961200,meta_description,fr,,,
COLLECTION,'265254993968,title,fr,,Facial Serums,
COLLECTION,'265254993968,body_html,fr,,"",
COLLECTION,'265254993968,meta_title,fr,,,
COLLECTION,'265254993968,meta_description,fr,,,
COLLECTION,'265255026736,title,fr,,Brochures,
COLLECTION,'265255026736,body_html,fr,,"",
COLLECTION,'265255026736,meta_title,fr,,,
COLLECTION,'265255026736,meta_description,fr,,,
COLLECTION,'265255059504,title,fr,,"Body, Hair & Massage Oils",
COLLECTION,'265255059504,body_html,fr,,"",
COLLECTION,'265255059504,meta_title,fr,,,
COLLECTION,'265255059504,meta_description,fr,,,
COLLECTION,'265255092272,title,fr,,"Body Lotions, Cremes & Butters",
COLLECTION,'265255092272,body_html,fr,,"",
COLLECTION,'265255092272,meta_title,fr,,,
COLLECTION,'265255092272,meta_description,fr,,,
COLLECTION,'265255125040,title,fr,,Sanitizer,
COLLECTION,'265255125040,body_html,fr,,"",
COLLECTION,'265255125040,meta_title,fr,,,
COLLECTION,'265255125040,meta_description,fr,,,
COLLECTION,'265255157808,title,fr,,Beauty Products,
COLLECTION,'265255157808,body_html,fr,,"",
COLLECTION,'265255157808,meta_title,fr,,,
COLLECTION,'265255157808,meta_description,fr,,,
COLLECTION,'265255223344,title,fr,,Breath Fresheners,
COLLECTION,'265255223344,body_html,fr,,"",
COLLECTION,'265255223344,meta_title,fr,,,
COLLECTION,'265255223344,meta_description,fr,,,
COLLECTION,'265255256112,title,fr,,Natural & Synthetic Fragrance Oils & Waters,
COLLECTION,'265255256112,body_html,fr,,"",
COLLECTION,'265255256112,meta_title,fr,,,
COLLECTION,'265255256112,meta_description,fr,,,
COLLECTION,'265255288880,title,fr,,Other,
COLLECTION,'265255288880,body_html,fr,,"",
COLLECTION,'265255288880,meta_title,fr,,,
COLLECTION,'265255288880,meta_description,fr,,,
COLLECTION,'265255321648,title,fr,,Aromatherapy ACC,
COLLECTION,'265255321648,body_html,fr,,"",
COLLECTION,'265255321648,meta_title,fr,,,
COLLECTION,'265255321648,meta_description,fr,,,
COLLECTION,'265255354416,title,fr,,Essential Oils,
COLLECTION,'265255354416,body_html,fr,,"",
COLLECTION,'265255354416,meta_title,fr,,,
COLLECTION,'265255354416,meta_description,fr,,,
COLLECTION,'265255387184,title,fr,,Other POS,
COLLECTION,'265255387184,body_html,fr,,"",
COLLECTION,'265255387184,meta_title,fr,,,
COLLECTION,'265255387184,meta_description,fr,,,
COLLECTION,'265255419952,title,fr,,Functional Food,
COLLECTION,'265255419952,body_html,fr,,"",
COLLECTION,'265255419952,meta_title,fr,,,
COLLECTION,'265255419952,meta_description,fr,,,
COLLECTION,'265255452720,title,fr,,Protein Powder,
COLLECTION,'265255452720,body_html,fr,,"",
COLLECTION,'265255452720,meta_title,fr,,,
COLLECTION,'265255452720,meta_description,fr,,,
COLLECTION,'265255485488,title,fr,,Empty Displays,
COLLECTION,'265255485488,body_html,fr,,"",
COLLECTION,'265255485488,meta_title,fr,,,
COLLECTION,'265255485488,meta_description,fr,,,
COLLECTION,'265450946608,title,fr,,Attitude,
COLLECTION,'265450946608,body_html,fr,,"",
COLLECTION,'265450946608,meta_title,fr,,,
COLLECTION,'265450946608,meta_description,fr,,,
COLLECTION,'265451012144,title,fr,,Ancient Nutrition,
COLLECTION,'265451012144,body_html,fr,,"",
COLLECTION,'265451012144,meta_title,fr,,,
COLLECTION,'265451012144,meta_description,fr,,,
COLLECTION,'265451044912,title,fr,,Derma E,
COLLECTION,'265451044912,body_html,fr,,"",
COLLECTION,'265451044912,meta_title,fr,,,
COLLECTION,'265451044912,meta_description,fr,,,
COLLECTION,'265451077680,title,fr,,Divine Essence,
COLLECTION,'265451077680,body_html,fr,,"",
COLLECTION,'265451077680,meta_title,fr,,,
COLLECTION,'265451077680,meta_description,fr,,,
DELIVERY_METHOD_DEFINITION,'366278344752,name,fr,,Standard,
DELIVERY_METHOD_DEFINITION,'366278377520,name,fr,,Standard,
DELIVERY_METHOD_DEFINITION,'366278410288,name,fr,,Standard,
DELIVERY_METHOD_DEFINITION,'366278443056,name,fr,,Express,
DELIVERY_METHOD_DEFINITION,'366278475824,name,fr,,Standard International,
DELIVERY_METHOD_DEFINITION,'366278508592,name,fr,,Standard International,
DELIVERY_METHOD_DEFINITION,'366278541360,name,fr,,Standard International,
DELIVERY_METHOD_DEFINITION,'366278574128,name,fr,,Standard International,
DELIVERY_METHOD_DEFINITION,'366278606896,name,fr,,Express International,
DELIVERY_METHOD_DEFINITION,'366278639664,name,fr,,canada_post,
EMAIL_TEMPLATE,'7137591344,title,fr,,Order {{name}} confirmed,Commande {{name}} confirmée
